#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S2,1 (m_z=100) [Magnitude]"
#----------------------------------------------
0.60799998044968	-11.455098810453
0.61199998855591	-11.284029683384
0.61599999666214	-11.114899269927
0.62000000476837	-10.947782765801
0.62400001287460	-10.782751993094
0.62800002098083	-10.619881637661
0.63200002908707	-10.459238714338
0.63599997758865	-10.300896760325
0.63999998569489	-10.144927429158
0.64399999380112	-9.9914010744543
0.64800000190735	-9.8403911195833
0.65200001001358	-9.6919646508142
0.65600001811981	-9.5461959215003
0.66000002622604	-9.4031534214397
0.66399997472763	-9.2629062778647
0.66799998283386	-9.1255203850266
0.67199999094009	-8.9910605959088
0.67599999904633	-8.8595912109507
0.68000000715256	-8.7311691784630
0.68400001525879	-8.6058531228918
0.68800002336502	-8.4836935381159
0.69199997186661	-8.3647413410899
0.69599997997284	-8.2490375721172
0.69999998807907	-8.1366237824043
0.70399999618530	-8.0275370044549
0.70800000429153	-7.9218065523416
0.71200001239777	-7.8194582595889
0.71600002050400	-7.7205139310410
0.72000002861023	-7.6249935496538
0.72399997711182	-7.5329077192581
0.72799998521805	-7.4442670568429
0.73199999332428	-7.3590775540161
0.73600000143051	-7.2773422347610
0.74000000953674	-7.1990595489823
0.74400001764297	-7.1242267209675
0.74800002574921	-7.0528383857423
0.75199997425079	-6.9848875535759
0.75599998235703	-6.9203675765006
0.75999999046326	-6.8592656461000
0.76399999856949	-6.8015729737071
0.76800000667572	-6.7472768371980
0.77200001478195	-6.6963679072365
0.77600002288818	-6.6488337881453
0.77999997138977	-6.6046610650405
0.78399997949600	-6.5638393219232
0.78799998760223	-6.5263564174610
0.79199999570847	-6.4922016876281
0.79600000381470	-6.4613613434726
0.80000001192093	-6.4338267167255
0.80400002002716	-6.4095820844294
0.80800002813339	-6.3886154468919
0.81199997663498	-6.3709131023013
0.81599998474121	-6.3564584933650
0.81999999284744	-6.3452327746856
0.82400000095367	-6.3372200175603
0.82800000905991	-6.3323948201340
0.83200001716614	-6.3307323343206
0.83600002527237	-6.3322040777281
0.83999997377396	-6.3367779243981
0.84399998188019	-6.3444168642592
0.84799998998642	-6.3550800212295
0.85199999809265	-6.3687220247620
0.85600000619888	-6.3852912106779
0.86000001430511	-6.4047336394844
0.86400002241135	-6.4269876148520
0.86799997091293	-6.4519882083514
0.87199997901917	-6.4796648378227
0.87599998712540	-6.5099447468162
0.87999999523163	-6.5427466323481
0.88400000333786	-6.5779901973004
0.88800001144409	-6.6155883453705
0.89200001955032	-6.6554549589179
0.89600002765656	-6.6974957153784
0.89999997615814	-6.7416239721576
0.90399998426437	-6.7877447012492
0.90799999237061	-6.8357675287560
0.91200000047684	-6.8856029150362
0.91600000858307	-6.9371633709268
0.92000001668930	-6.9903611758932
0.92400002479553	-7.0451179487245
0.92799997329712	-7.1013548675477
0.93199998140335	-7.1589990335962
0.93599998950958	-7.2179845686032
0.93999999761581	-7.2782493831363
0.94400000572205	-7.3397370630878
0.94800001382828	-7.4023985899218
0.95200002193451	-7.4661895783270
0.95599997043610	-7.5310714011563
0.95999997854233	-7.5970095401596
0.96399998664856	-7.6639769623546
0.96799999475479	-7.7319456597940
0.97200000286102	-7.8008947387258
0.97600001096725	-7.8708033648451
0.98000001907349	-7.9416514947541
0.98400002717972	-8.0134204343476
0.98799997568130	-8.0860889875404
0.99199998378754	-8.1596369290603
0.99599999189377	-8.2340387020662
1.0000000000000	-8.3092645936802
1.0039999485016	-8.3852836008592
1.0080000162125	-8.4620591697621
1.0119999647141	-8.5395483815105
1.0160000324249	-8.6177034670957
1.0199999809265	-8.6964716761508
1.0240000486374	-8.7757964939862
1.0279999971390	-8.8556163919711
1.0319999456406	-8.9358648154632
