#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S2,1 [Magnitude]"
#------------------------------------
0.66799998283386	-12.435547927925
0.67199999094009	-12.263281176957
0.67599999904633	-12.093273763756
0.68000000715256	-11.925583390627
0.68400001525879	-11.760261360333
0.68800002336502	-11.597356899484
0.69199997186661	-11.436907734561
0.69599997997284	-11.278952739436
0.69999998807907	-11.123520951647
0.70399999618530	-10.970644928295
0.70800000429153	-10.820346081849
0.71200001239777	-10.672648348161
0.71600002050400	-10.527569631804
0.72000002861023	-10.385122688495
0.72399997711182	-10.245324962562
0.72799998521805	-10.108182404668
0.73199999332428	-9.9737065960039
0.73600000143051	-9.8419019186931
0.74000000953674	-9.7127743621854
0.74400001764297	-9.5863249239320
0.74800002574921	-9.4625563522153
0.75199997425079	-9.3414679609908
0.75599998235703	-9.2230601032057
0.75999999046326	-9.1073271627945
0.76399999856949	-8.9942675729114
0.76800000667572	-8.8838765837082
0.77200001478195	-8.7761491395722
0.77600002288818	-8.6710792777095
0.77999997138977	-8.5686612497121
0.78399997949600	-8.4688861125865
0.78799998760223	-8.3717466740253
0.79199999570847	-8.2772348181405
0.79600000381470	-8.1853422200307
0.80000001192093	-8.0960587555437
0.80400002002716	-8.0093766899623
0.80800002813339	-7.9252835900911
0.81199997663498	-7.8437723863795
0.81599998474121	-7.7648300373838
0.81999999284744	-7.6884489765523
0.82400000095367	-7.6146157186191
0.82800000905991	-7.5433225099366
0.83200001716614	-7.4745560038280
0.83600002527237	-7.4083066849553
0.83999997377396	-7.3445619586776
0.84399998188019	-7.2833112927737
0.84799998998642	-7.2245441476005
0.85199999809265	-7.1682502717629
0.85600000619888	-7.1144136140247
0.86000001430511	-7.0630287338221
0.86400002241135	-7.0140795712110
0.86799997091293	-6.9675568604540
0.87199997901917	-6.9234466986591
0.87599998712540	-6.8817412979834
0.87999999523163	-6.8424252274973
0.88400000333786	-6.8054899971120
0.88800001144409	-6.7709193490725
0.89200001955032	-6.7387078731500
0.89600002765656	-6.7088382718271
0.89999997615814	-6.6812996209321
0.90399998426437	-6.6560832284167
0.90799999237061	-6.6331737905540
0.91200000047684	-6.6125599998158
0.91600000858307	-6.5942289438631
0.92000001668930	-6.5781681814272
0.92400002479553	-6.5643677455803
0.92799997329712	-6.5528120739214
0.93199998140335	-6.5434900249002
0.93599998950958	-6.5363877983819
0.93999999761581	-6.5314927991057
0.94400000572205	-6.5287916266650
0.94800001382828	-6.5282709246844
0.95200002193451	-6.5299172693186
0.95599997043610	-6.5337145645673
0.95999997854233	-6.5396511217310
0.96399998664856	-6.5477117601445
0.96799999475479	-6.5578815446802
0.97200000286102	-6.5701455093375
0.97600001096725	-6.5844857513118
0.98000001907349	-6.6008905466049
0.98400002717972	-6.6193408667097
0.98799997568130	-6.6398205478720
0.99199998378754	-6.6623128547661
0.99599999189377	-6.6868006882935
1.0000000000000	-6.7132637015695
1.0039999485016	-6.7416845838622
1.0080000162125	-6.7720458342941
1.0119999647141	-6.8043254373017
1.0160000324249	-6.8385043602529
1.0199999809265	-6.8745605070753
1.0240000486374	-6.9124730875616
1.0279999971390	-6.9522207903904
1.0319999456406	-6.9937781729447
1.0360000133514	-7.0371216904199
1.0399999618530	-7.0822280159468
1.0440000295639	-7.1290728993271
1.0479999780655	-7.1776270232909
1.0520000457764	-7.2278657641347
1.0559999942780	-7.2797589060452
1.0599999427795	-7.3332803824279
1.0640000104904	-7.3883976905914
1.0679999589920	-7.4450813543621
1.0720000267029	-7.5032988393998
1.0759999752045	-7.5630179776874
1.0800000429153	-7.6242050865332
1.0839999914169	-7.6868241870639
1.0880000591278	-7.7508395396134
1.0920000076294	-7.8162160888354
1.0959999561310	-7.8829108901354
1.1000000238419	-7.9508894978041
1.1039999723434	-8.0201092464858
1.1080000400543	-8.0905302307832
1.1119999885559	-8.1621069066722
1.1160000562668	-8.2347987102012
1.1200000047684	-8.3085600581850
1.1239999532700	-8.3833434772850
1.1280000209808	-8.4591037817679
1.1319999694824	-8.5357937804593
1.1360000371933	-8.6133643931276
1.1399999856949	-8.6917658152744
1.1440000534058	-8.7709475351802
1.1480000019073	-8.8508596529216
1.1519999504089	-8.9314480966936
1.1560000181198	-9.0126627401439
1.1599999666214	-9.0944495469316
1.1640000343323	-9.1767562869238
1.1679999828339	-9.2595269701643
1.1720000505447	-9.3427102905025
1.1759999990463	-9.4262505087945
1.1799999475479	-9.5100949820692
1.1840000152588	-9.5941898363899
1.1879999637604	-9.6784802291295
1.1920000314713	-9.7629149478505
1.1959999799728	-9.8474404880254
1.2000000476837	-9.9320058327594
1.2039999961853	-10.016561531100
1.2079999446869	-10.101055001067
1.2120000123978	-10.185441636255
1.2159999608994	-10.269672358053
1.2200000286102	-10.353701583276
